Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
1213,224,2025,5,4,4,9,4,10,6,6,7,2,4,4,5,17,5,8,5,,,,,,,,,,,"Piloto"
1214,215,2025,5,5,7,3,0,3,2,10,2,3,2,0,9,6,6,5,4,,,,,,,,,,,"Piloto"
1215,216,2025,5,9,10,4,11,14,5,4,4,5,8,11,15,10,4,17,7,,,,,,,,,,,"Piloto"
1216,219,2025,5,10,0,20,15,7,10,2,6,4,6,7,0,4,3,0,6,,,,,,,,,,,"Piloto"
1217,220,2025,5,6,5,5,3,4,8,8,5,0,7,6,4,5,9,6,8,,,,,,,,,,,"Piloto"
1218,234,2025,5,8,14,13,5,9,7,13,8,9,13,8,7,16,0,7,14,,,,,,,,,,,"Piloto"
1219,233,2025,5,16,6,8,7,13,11,12,14,7,15,12,16,11,17,13,0,,,,,,,,,,,"Piloto"
1220,232,2025,5,11,16,15,10,18,0,9,10,10,11,10,18,8,10,4,12,,,,,,,,,,,"Piloto"
1221,229,2025,5,20,9,10,8,11,12,11,13,6,5,5,8,7,12,18,16,,,,,,,,,,,"Piloto"
1222,226,2025,5,12,15,7,12,16,13,16,11,11,12,9,10,0,14,10,10,,,,,,,,,,,"Piloto"
1223,230,2025,5,13,11,12,6,6,9,0,9,8,10,16,6,14,13,11,9,,,,,,,,,,,"Piloto"
1224,221,2025,5,7,12,14,9,8,18,7,12,12,16,0,12,18,7,12,0,,,,,,,,,,,"Piloto"
1225,222,2025,5,14,8,11,13,12,16,17,16,13,9,0,13,9,11,9,17,,,,,,,,,,,"Piloto"
1226,231,2025,5,19,17,17,17,17,19,19,17,14,17,15,11,15,16,15,13,,,,,,,,,,,"Piloto"
1227,236,2025,5,15,18,18,16,19,17,0,0,15,19,14,0,13,15,19,15,,,,,,,,,,,"Piloto"
1228,237,2025,5,18,0,16,14,15,15,15,15,16,14,13,14,12,18,16,11,,,,,,,,,,,"Piloto"
1229,228,2025,5,17,13,19,18,20,14,18,18,17,18,17,17,0,19,14,18,,,,,,,,,,,"Piloto"
1230,217,2025,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1231,235,2025,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1232,223,2025,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1233,224,2025,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1234,215,2025,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1235,216,2025,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
1236,219,2025,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,"Piloto"
